stadtteil,ehemalig,heutig,schl_nr,datum_praezision,quelle,zusatz,eindeutig
Dellwig,Fallstraße,Bergheimer Steig,00331,tag,Dickhoff 2015,(tlw.),ja
Bedingrade,Graffweg,Bergheimer Straße,00509,tag,Dickhoff 2015,,ja
Steele,Knappenstraße,Bergknappenweg,00334,tag,Dickhoff 2015,,ja
Kray,Zechenstraße,Berkenhölzken,00340,tag,Dickhoff 2015,,ja
Schonnebeck,Mühlenstraße,Berkenkampmühle,00532,tag,Dickhoff 2015,,ja
Südviertel,Schillerstraße,Bert-Brecht-Straße,02766,tag,Dickhoff 2015,,ja
Frohnhausen,Frohnhauser Straße,Berzeliusstraße,00348,tag,Dickhoff 2015,(tlw.),nein
Bergeborbeck,Schraeplerstraße,Bessemerstraße,00350,tag,Dickhoff 2015,(tlw.),ja
Horst,Hofstraße,Beulenhof,00352,vor,Dickhoff 2015,,ja
Steele,Viktoriastraße,Bewerungestraße,00355,tag,Dickhoff 2015,,ja
Frillendorf,Eisenstraße,Bielenhöhe,00359,tag,Dickhoff 2015,,ja
Byfang,Siepenweg,Bissenkamp,00370,jahr,Dickhoff 2015,,ja
Kray,Theodorstraße,Blittersdorfweg,00372,tag,Dickhoff 2015,,ja
Nordviertel,Herbert-Norkus-Straße rien,Blumenfeldstraße,00376,tag,Dickhoff 2015,(Umb.),ja
Stadtwald,Willenbergstraße,Bohrmühlental,00390,tag,Dickhoff 2015,,ja
Katernberg,Bonnekampstraße,Bonnekamphöhe,00435,tag,Dickhoff 2015,(tlw.),ja
Karnap,Viktorstraße,Boshamerweg,00405,tag,Dickhoff 2015,,ja
Kupferdreh,Lindenstraße,Bovermanns Kamp,00409,tag,Dickhoff 2015,,ja
Karnap,Waldstraße,Bräukerwald,00425,tag,Dickhoff 2015,,ja
Holsterhausen,Brahmkamphof,Bramkamphof,00415,tag,Dickhoff 2015,,ja
Frohnhausen,Brahmkampstraße,Bramkampstraße,00416,jahr,Dickhoff 2015,,ja
Frillendorf,Brandstraße,Brandhövel,00419,tag,Dickhoff 2015,,ja
Rüttenscheid,Clementinenstraße,Brassertstraße,00423,tag,Dickhoff 2015,,ja
Kray,Girondellenstraße,Braukloh,00426,tag,Dickhoff 2015,,ja
Frillendorf,Waterfohrplatz,Braunsberg,00427,jahr,Dickhoff 2015,(tlw.),ja
Schönebeck,Ringstraße,Brausewindhang,00429,tag,Dickhoff 2015,,ja
Bredeney,Frankenstraße,Bredeneyer Kreuz,00516,tag,Dickhoff 2015,(tlw.),ja
Bredeney,Im Löwental,Bredeneyer Straße,00433,tag,Dickhoff 2015,,ja
Frintrop,Hofstraße,Breukelmannhof,00445,tag,Dickhoff 2015,,ja
Horst,Poststraße,Briefzeile,00446,tag,Dickhoff 2015,,ja
Bergerhausen,Saalestraße,Bröhmkenweg,00453,tag,Dickhoff 2015,,ja
Werden,Ruhrstraße,Brückstraße,00461,vor,Dickhoff 2015,,ja
Südviertel,Mackensenstraße,Brunnenstraße,00466,tag,Dickhoff 2015,,ja
Heidhausen,Spillheide,Bruststraße,00469,tag,Dickhoff 2015,,ja
Katernberg,Kantstraße,Büchelsloh,00474,tag,Dickhoff 2015,,ja
Stadtkern,Adolf-Hitler-Platz,Burgplatz,00496,tag,Dickhoff 2015,,ja
Burgaltendorf,Dahlhauser Straße,Burgstraße,00519,tag,Dickhoff 2015,,ja
Karnap,Fichtestraße,Burhofer Brauk,00498,jahr,Dickhoff 2015,,ja
Frohnhausen,Dunckerstraße,Busehofstraße,00505,tag,Dickhoff 2015,,ja
Heisingen,Lindenstraße,Butenbergs Kamp,00506,vor,Dickhoff 2015,,ja
Heisingen,Kart-Funke-Straße,Carl-Funke-Straße,00543,tag,Dickhoff 2015,,ja
Bergeborbeck,Bergmühle,Carl-Kruft-Straße,00588,tag,Dickhoff 2015,(tlw.),ja
Burgaltendorf,Holteyerberg,Charlottenhöhe,00561,tag,Dickhoff 2015,(tlw.),nein
Burgaltendorf,Holteyerberg,Charlottenweg,00562,tag,Dickhoff 2015,(tlw.),nein
Kupferdreh,Kanalstraße,Colsmannstraße,00551,tag,Dickhoff 2015,,ja
Holsterhausen,Erich-Garthe-Straße,Corlißstraße,00552,tag,Dickhoff 2015,(Umb.),ja
Werden,Höhenweg,Dahler Höhe,00594,vor,Dickhoff 2015,,ja
Frohnhausen,Breilsort,Dahlmannstraße,00665,tag,Dickhoff 2015,(tlw.),ja
Kupferdreh,Friedrichstraße,Deilbachtal,00607,tag,Dickhoff 2015,,ja
Byfang,Kupferdreher Straße,Deipenbecktal,00611,tag,Dickhoff 2015,,ja
Holsterhausen,Bernhardstraße,Demrathkamp,00618,tag,Dickhoff 2015,,ja
Altendorf,Barkhofstraße,Dickmannstraße,00623,jahr,Dickhoff 2015,,ja
Kupferdreh,Velberter Straße,Dilldorfer Straße,00629,jahr,Dickhoff 2015,(tlw.),ja
Kupferdreh,Hügelstraße,Dixbäume,00640,tag,Dickhoff 2015,,ja
Rüttenscheid,Charlottenstraße,Dohmanns Kamp,00644,tag,Dickhoff 2015,,ja
Frohnhausen,Kerckhoffstraße,Dollendorfstraße,00645,tag,Dickhoff 2015,(tlw.),ja
Heisingen,Mittelstraße,Dorflinde,00649,vor,Dickhoff 2015,,ja
Schonnebeck,Schellbergstraße,Dornbuschhegge,00650,tag,Dickhoff 2015,,ja
Kray,Dortmunder Straße,Dorstfelder Straße,00686,tag,Dickhoff 2015,(tlw.),ja
Schönebeck,Gartenkamp,Dreigarbenfeld,00658,tag,Dickhoff 2015,(tlw.),nein
Steele,Friedrichstraße,Dreiringstraße,00661,tag,Dickhoff 2015,,ja
Katernberg,Buschstraße,Drokamp,00664,vor,Dickhoff 2015,,ja
Altendorf,Bungertstraße,Drügeshofstraße,00671,tag,Dickhoff 2015,,ja
Werden,Schützenbahn,Dudenstraße,00674,jahrhundert,Dickhoff 2015,,ja
Werden,Friedrichstraße,Dückerstraße,00675,tag,Dickhoff 2015,,ja
Byfang,Düschenweg,Düschenhofer Wald,00681,vor,Dickhoff 2015,,ja
Burgaltendorf,Burgstraße,Dumberger Straße,00694,tag,Dickhoff 2015,,ja
Kray,Eisenstraße,Dutzendriege,00684,tag,Dickhoff 2015,,ja
Rüttenscheid,Wolfgangstraße,Eduard-Lucas-Straße,00725,tag,Dickhoff 2015,,ja
Kettwig,Wiesenstraße,Eichendorffstraße,03767,tag,Dickhoff 2015,,ja
Steele,Elisenstraße,Eickelkamp,00737,tag,Dickhoff 2015,,ja
Bergerhausen,Georgsstraße,Elbestraße,00752,tag,Dickhoff 2015,(Umb.),ja
Nordviertel,Hermannplatz,Eltingplatz,00769,tag,Dickhoff 2015,,ja
Nordviertel,Hermannstraße,Eltingstraße,00770,tag,Dickhoff 2015,,ja
Bergerhausen,Neckarstraße,Elzstraße,02226,tag,Dickhoff 2015,,ja
Kettwig,Schlageterstraße,Emil-Kemper-Straße,03647,tag,Dickhoff 2015,,ja
Kray,B-Straße,Erinweg,00789,jahr,Dickhoff 2015,,ja
Horst,Horststraße,Färberweg,00845,tag,Dickhoff 2015,(tlw.),nein
Katernberg,Johannstraße,Faßbinderweg,00847,tag,Dickhoff 2015,,ja
Kettwig,Weerthstraße,Ferdinand-Weerth-Straße,03765,tag,Dickhoff 2015,,ja
Fischlaken,In den Höfen,Fischlaker Höfe,00957,tag,Dickhoff 2015,,ja
Kray,Heinrichstraße,Fischweiher,00863,vor,Dickhoff 2015,(tlw.),nein
Bochold,Zinkstraße,Flandernstraße,03287,tag,Dickhoff 2015,(tlw.),ja
Rüttenscheid,Kurtstraße,Florastraße,00876,tag,Dickhoff 2015,,ja
Schonnebeck,Dietwartstraße,Forschepoeterweg,00884,tag,Dickhoff 2015,,ja
Werden,Hochstraße,Forstmannstraße,00886,vor,Dickhoff 2015,(tlw.),nein
Südostviertel,Damannstraße,Franz-Arens-Straße,00947,tag,Dickhoff 2015,(tlw.),ja
Frillendorf,Frillendorfer Straße,Franz-Fischer-Weg,00921,tag,Dickhoff 2015,(Verl.),ja
Rüttenscheid,Franz-Seldte-Straße,Franziskastraße,00893,tag,Dickhoff 2015,(Umb.),ja
