schl_nr,lemma,stadtteile,strassenklasse,namensgruppe,verweis_auf,buchseite,status
00101,Am Korstick,Heidhausen,Gemeindestraße,Hofname,,38,automatisch
00264,Am Krählinge,Burgaltendorf,Gemeindestraße,Kotten,,38,automatisch
00102,Am Krausen Bäumchen,Bergerhausen,Gemeindestraße,Flurname,,38,automatisch
00103,Am Kreuz,Altenessen-Süd,Gemeindestraße,Lagebezeichnung,,38,automatisch
00208,Am Kreyenkrop,Bedingrade,Landstraße,Flurname,,39,automatisch
00104,Am Kringel,Überruhr- Holthausen,Gemeindestraße,"Flurname, Familienname",,39,automatisch
00105,Am Krusen,Heisingen,Gemeindestraße,Flurname,,39,automatisch
00822,Am Kunstschacht,Stoppenberg,Gemeindestraße,Lagebezeichnung,,39,automatisch
00239,Am Kunstwerk,Bergerhausen,Gemeindestraße,Bergbau,,39,automatisch
00106,Am Langensiepen,Heisingen,Gemeindestraße,"Flurname, Familienname",,39,automatisch
00107,Am Lehmberg,Leithe,Gemeindestraße,Flurname,,39,automatisch
01130,Am Lichtbogen,Altenessen- Süd,Gemeindestraße,Industrie und Wirtschaft,,39,automatisch
02527,Am Lindenbruch,Katernberg,Gemeindestraße,Flurname,,39,automatisch
00108,Am Lünink,Fischlaken,Gemeindestraße,"Flurname, Kotten",,39,automatisch
00241,Am Luftschacht,Kray,Gemeindestraße,Bergbau,,40,automatisch
00109,Am Markuskreuz,Bredeney,Gemeindestraße,Lagebezeichnung,,40,automatisch
02513,Am Mechtenberg,Kray,Gemeindestraße,"Geologie, Berg, vorm.: Bonifaciusstraße (tlw.)",,40,unsicher
03607,Am Möhlenkamp,Kettwig,Gemeindestraße,Flurname,,40,automatisch
00110,Am Mörgeken,Kray,Gemeindestraße,Flurname,,40,automatisch
00111,Am Mühlenbach,Frohnhausen; Holsterhausen,Gemeindestraße,Gewässer,,40,automatisch
03608,KERNE Met SENT BET pe rn ia Am Mühlengraben,Kettwig,Gemeindestraße,Lagebezeichnung,,40,unsicher
03609,PERRRFEERE PETER Am Muhrenberg,Kettwig,Gemeindestraße,Flurname,,40,automatisch
00113,Am Nachtigallental,Margarethenhöhe,Gemeindestraße,"Botanik, Park",,40,automatisch
00209,Am Ostpark,Südostviertel,Gemeindestraße,"Botanik, Park",,41,automatisch
00114,Am Parkfriedhof,Huttrop,Gemeindestraße,Lagebezeichnung,,41,automatisch
00526,Am Porscheplatz,Stadtkern,Gemeindestraße,"Person, Mann, Deutscher, Kraftfahrzeugkonstrukteur, Lagebezeichnung",Porscheplatz und Porschekanzel,41,automatisch
00115,Am Pothstück,Haarzopf,Gemeindestraße,Flurname,,41,automatisch
00698,Am Pumpwerk,Kray,Gemeindestraße,Lagebezeichnung,,41,automatisch
02510,Am Reiterhof,Stoppenberg,Gemeindestraße,"Lagebezeichnung, vorm.: Distelbeckhof (tiIw.)",,41,unsicher
00116,Am Richrath,Fischlaken,Gemeindestraße,Bergbau,,41,automatisch
00238,) Am Richtenberg,Frohnhausen,Gemeindestraße,Lagebezeichnung,,41,unsicher
00574,Am Riehlpark,Frohnhausen,Gemeindestraße,"Person, Mann, Deutscher, Journalist, Novellist, Kulturhistoriker",,41,automatisch
00117,Am Ringofen,Bergeborbeck,Gemeindestraße,Lagebezeichnung,,41,unsicher
00246,Am Roten Haus,Bedingrade,Gemeindestraße,Flurname,,42,automatisch
00248,Am Rüttenscheider Stern,Rüttenscheid,Gemeindestraße,Lagebezeichnung,Rüttenscheider Stern,42,automatisch
00118,Am Ruhmbach,Haarzopf,Gemeindestraße,Lagebezeichnung,,42,automatisch
00119,Am Ruhrstein,Bredeney,Gemeindestraße,Lagebezeichnung,,42,automatisch
00120,Am Ruhrufer,Steele,Gemeindestraße,Lagebezeichnung,,42,automatisch
00121,Am Rundblick,Kray,Gemeindestraße,Lagebezeichnung,,42,automatisch
03270,Am Schacht Hubert,Friltendorf,Gemeindestraße,Bergbau,,42,automatisch
00123,Am Scheidtbusch,Fulerum,Gemeindestraße,Hofname,,42,automatisch
00124,Am Schlagbaum,Altenessen- Süd,Gemeindestraße,Flurname,,42,automatisch
00125,Am Schlangenberg,Bergerhausen,Gemeindestraße,"Flurname, Hofname",,42,automatisch
00126,Am Schmalscheid,Fischlaken,Gemeindestraße,Fiurname,,43,automatisch
00127,Am Schroer,Byfang,Gemeindestraße,"Flurname, Familienname",,43,automatisch
01138,Am Schroerkotten,Stoppenberg,Gemeindestraße,Familienname,,43,automatisch
00128,Am Schultenhof,Stoppenberg,Gemeindestraße,Hofname,,43,automatisch
00129,Am Schwarzen,Heidhausen,Gemeindestraße,Lagebezeichnung,,43,automatisch
03565,Am Seeblick,Heisingen,Gemeindestraße,Lagebezeichnung,,43,automatisch
01872,Am Seebogen,Kupferdreh,Gemeindestraße,Lagebezeichnung,,43,automatisch
03559,Am Siepenhang,Bergerhausen,Gemeindestraße,Lagebezeichnung,,43,automatisch
00266,Am Sonnenhang,Burgaltendorf,Gemeindestraße,Kotten,,43,automatisch
03732,Am Stadtbad,Kettwig,Gemeindestraße,Lagebezeichnung,,43,automatisch
00249,Am Stadthafen,Bergeborbeck,Gemeindestraße,Lagebezeichnung,,43,automatisch
03611,EEE EEE ER 4 4 bi Am Stadtwald,Kettwig,Gemeindestraße,Lagebezeichnung,,44,unsicher
03612,Am Stammensberg,Kettwig,Gemeindestraße,Lagebezeichnung,,44,automatisch
00267,Am Stern,Burgaltendorf,Gemeindestraße,Lagebezeichnung,,44,automatisch
00132,Am Stift,Rellinghausen,Gemeindestraße,Essener Geschichte und Ortlichkeit,Stiftplatz,44,automatisch
01615,Am Stoppenberger Bach,Stoppenberg,Gemeindestraße,Lagebezeichnung,,44,automatisch
00259,Am Streifen,Haarzopf,Gemeindestraße,Flurname,,44,automatisch
00133,Am Strötgen,Heidhausen,Gemeindestraße,Hofname,,44,automatisch
00134,Am Tann,Bredeney,Gemeindestraße,Lagebezeichnung,,44,automatisch
01149,Am Technologiepark,Kray,Gemeindestraße,"Industrie und Wirtschaft, vorm.: Franz-Fischer-Weg_ (tiw.), vorm.: Schönscheidtstraße (tiw)",,44,unsicher
00135,Am Teichstück,Schonnebeck,Gemeindestraße,Flurname,,44,automatisch
00217,Am Thyssenhaus,Südviertel,Gemeindestraße,Lagebezeichnung,,44,automatisch
00136,Am Treppehen,Schuir,Gemeindestraße,Lagebezeichnung,,45,automatisch
00137,Am Turm,Heidhausen,Gemeindestraße,Lagebezeichnung,,45,unsicher
00138,Am U-Bogen,Katernberg,Gemeindestraße,Lagebezeichnung,,45,automatisch
00255,Am Uhlenkrug,Stadtwald,Gemeindestraße,Lagebezeichnung,,45,automatisch
00261,Am Vattersberg,Burgaltendorf,Gemeindestraße,Lagebezeichnung,,45,automatisch
00257,Am Vierkotten,Heisingen,Gemeindestraße,Kotten,,45,automatisch
00139,Am Vogelherd,Fischlaken,Gemeindestraße,Flurname,,45,automatisch
